name,abbrev,w1,w2,w3,w4,expression,expression_form,reference
Carotenoid 1,cri1,510,550,,,(1/R510)-(1/R550),(1/p1)-(1/p2),"Gitelson AA, Zur Y, Chivkunova OB, Merzlyak MN (2002) Assessing carotenoid content in plant leaves with reflectance spectroscopy. Photochem Photobiol 75: 272-281"
Carotenoid 2,cri2,510,700,,,(1/R510)-(1/R700),(1/p1)-(1/p2),"Gitelson AA, Zur Y, Chivkunova OB, Merzlyak MN (2002) Assessing carotenoid content in plant leaves with reflectance spectroscopy. Photochem Photobiol 75: 272-281"
Carter 1,carter1,695,760,,,R695/R760,p1/p2,"Carter, G.A., 1994 ""Ratios of leaf reflectance in narrow wavelengths as indicator of plant stress"", Int. J. Remote Sensing 15:697-704."
Carter 2,carter2,695,420,,,R695/R420,p1/p2,"Carter, G.A., 1994 ""Ratios of leaf reflectance in narrow wavelengths as indicator of plant stress, Int. J. Remote Sensing 15:697-704."
Chlorophyll 1 A,chl1a,740,675,800,,(R740^2)/ (R675*R800),p1^2/(p2*p3),
Chlorophyll 1 B,chl1b,740,675,695,800,(R740^3)/ (R675*R695*R800),p1^3/p2*p3*p4,
Chlorophyll 2 A,chl2a,685,675,800,,(R685^2)/ (R675*R800),p1^2/(p2*p3),
Chlorophyll 2 B,chl2b,685,675,695,800,(R685^3)/ (R675*R695*R800),p1^3/p2*p3*p4,
Curvature Index,curvature,675,690,683,,(R675*R690)/ (R683^2),(p1*p2)/p3^2,"Zarco-Tejada, P. J., Miller, J. R., Mohammed, G. H., Noland, T. L., & Sampson, P. H. (2002). Vegetation stress detection through chlorophyll a + b estimation and fluorescence effects on hyperspectral imagery. Journal of Environmental Quality, 31, 1433- 1441."
Datt 1,datt1,960,708,550,,R860/ (R708*R550) ,p1/(p2*p3),"Datt B (1998) Remote sensing of chlorophyll a, chlorophyll b, chlorophyll a + b, and total carotenoid content in eucalyptus leaves. Remote Sens Environ 66: 111-121"
Gitelson 1,gitelson1,800,700,,,(R800-R700)/ (R800+R700),(p1-p2)/(p1+p2),"Gitelson, A. A., and Merzlyak, M. N. (1994), Spectral reflectance changes associated with autumn senescence of Aesculus hippocastanum L. and Acer platanoides L. leaves. Spectral features and relation to chlorophyll estimation. J. Plant Physiol. 143:286-292."
Gitelson 2,gitelson2,750,705,,,(R750-R705)/ (R750+R705),(p1-p2)/(p1+p2),"Gitelson, A. A., and Merzlyak, M. N. (1994), Spectral reflectance changes associated with autumn senescence of Aesculus hippocastanum L. and Acer platanoides L. leaves. Spectral features and relation to chlorophyll estimation. J. Plant Physiol. 143:286-292."
Gitelson 3,gitelson3,750,445,,,(R750-R445)/ (R700-R445) ,(p1-p2)/(p1+p2),"Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
Gitelson 4,gitelson4,550,750,,,(1/R550)-(1/R750),(1/p1)-(1/p2),"Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
